ACCESSION NUMBER	SAMPLE ID	COUNTRY	YEAR
ERR386545	PH1132-C	Cambodia	2012
ERR490278	PH1132-C	Cambodia	2012
ERR386546	PH1133-C	Cambodia	2012
ERR386547	PH1135-C	Cambodia	2012
ERR484722	PH1135-C	Cambodia	2012
ERR484731	PH1135-C	Cambodia	2012
ERR490263	PH1135-C	Cambodia	2012
ERR527347	QN0001-C	China	2011
ERR054087	PX0001-CW	India	2011
ERR054085	PJ0006-CW	Indonesia	2011
ERR337624	PJ0007-C	Indonesia	2012
ERR337627	PJ0008-C	Indonesia	2013
ERR337630	PJ0009-C	Indonesia	2013
ERR527373	PJ0167-C	Indonesia	2013
ERR221486	QE0473-C	Laos	2012
ERR426037	QE0482-C	Laos	2012
ERR490350	QM0003-C	Madagascar	2012
ERR054088	PY0001-C	Malaysia	2011
ERR054089	PY0002-C	Malaysia	2011
ERR152414	PY0004-C	Malaysia	2011
ERR152415	PY0005-C	Malaysia	2011
ERR527337	PY0018-C	Malaysia	2013
ERR527363	PY0019-C	Malaysia	2013
ERR426064	QC0234-C	Myanmar	2012
ERR175555	PN0046-C	Papua New Guinea	2008
ERR484716	PN0046-C	Papua New Guinea	2008
ERR484725	PN0046-C	Papua New Guinea	2008
ERR490257	PN0046-C	Papua New Guinea	2008
ERR175557	PN0048-C	Papua New Guinea	2008
ERR484717	PN0048-C	Papua New Guinea	2008
ERR484726	PN0048-C	Papua New Guinea	2008
ERR490258	PN0048-C	Papua New Guinea	2008
ERR022864	PN0050-C	Papua New Guinea	2008
ERR216469	PN0065-C	Papua New Guinea	2008
ERR175552	PN0067-Cx	Papua New Guinea	2009
ERR216474	PN0068-Cx	Papua New Guinea	2009
ERR020124	PN0095-C	Papua New Guinea	2010
ERR527467	PN0157-C	Papua New Guinea	2013
ERR527450	PN0163-C	Papua New Guinea	2013
ERR527468	PN0167-C	Papua New Guinea	2013
ERR527453	PN0183-C	Papua New Guinea	2013
ERR054081	PS0002-CW	Sri Lanka	2010
ERR111724	PD0165-C	Thailand	2011
ERR111710	PD0166-C	Thailand	2011
ERR111727	PD0167-C	Thailand	2011
ERR111721	PD0168-C	Thailand	2011
ERR111728	PD0169-C	Thailand	2011
ERR111717	PD0170-C	Thailand	2011
ERR111713	PD0171-C	Thailand	2011
ERR111719	PD0172-C	Thailand	2011
ERR111720	PD0173-C	Thailand	2011
ERR111709	PD0174-C	Thailand	2011
ERR111714	PD0175-C	Thailand	2011
ERR111716	PD0176-C	Thailand	2011
ERR111725	PD0177-C	Thailand	2011
ERR111718	PD0178-C	Thailand	2011
ERR111715	PD0179-C	Thailand	2011
ERR111723	PD0180-C	Thailand	2011
ERR111722	PD0181-C	Thailand	2011
ERR111712	PD0182-C	Thailand	2011
ERR111726	PD0183-C	Thailand	2011
ERR111711	PD0184-C	Thailand	2011
ERR164695	PD0479-C	Thailand	2011
ERR337595	PD0593-C	Thailand	2011
ERR337599	PD0594-C	Thailand	2009
ERR337602	PD0595-C	Thailand	2010
ERR337605	PD0596-C	Thailand	2011
ERR337608	PD0597-C	Thailand	2009
ERR337610	PD0598-C	Thailand	2009
ERR337613	PD0599-C	Thailand	2012
ERR337616	PD0600-C	Thailand	2009
ERR337619	PD0601-C	Thailand	2012
ERR337622	PD0602-C	Thailand	2010
ERR337625	PD0603-C	Thailand	2010
ERR337628	PD0604-C	Thailand	2010
ERR337596	PD0605-C	Thailand	2011
ERR337600	PD0606-C	Thailand	2010
ERR337603	PD0607-C	Thailand	2011
ERR337606	PD0608-C	Thailand	2012
ERR337609	PD0609-C	Thailand	2012
ERR337611	PD0610-C	Thailand	2010
ERR337614	PD0611-C	Thailand	2012
ERR337617	PD0612-C	Thailand	2010
ERR337620	PD0613-C	Thailand	2007
ERR337623	PD0614-C	Thailand	2007
ERR337626	PD0615-C	Thailand	2011
ERR337597	PD0617-C	Thailand	2012
ERR337601	PD0618-C	Thailand	2011
ERR337604	PD0619-C	Thailand	2012
ERR337607	PD0620-C	Thailand	2012
ERR337618	PD0624-C	Thailand	2012
ERR337621	PD0625-C	Thailand	2012
ERR426015	PD0647-C	Thailand	2012
ERR404246	PD0660-C	Thailand	2013
ERR426035	PD0661-C	Thailand	2013
ERR527350	PD0674-C	Thailand	2007
ERR527352	PD0675-C	Thailand	2011
ERR527353	PD0676-C	Thailand	2012
ERR527355	PD0678-C	Thailand	2011
ERR527356	PD0679-C	Thailand	2007
ERR527358	PD0680-C	Thailand	2006
ERR527370	PD0681-C	Thailand	2007
ERR527374	PD0684-C	Thailand	2006
ERR527351	PD0685-C	Thailand	2013
ERR527364	PD0686-C	Thailand	2007
ERR527365	PD0687-C	Thailand	2012
ERR527366	PD0688-C	Thailand	2011
ERR527378	PD0689-C	Thailand	2011
ERR527367	PD0690-C	Thailand	2011
ERR527381	PD0691-C	Thailand	2006
ERR527369	PD0692-C	Thailand	2011
ERR527371	PD0693-C	Thailand	2010
ERR527372	PD0694-C	Thailand	2011
ERR527384	PD0695-C	Thailand	2011
ERR527362	PD0696-C	Thailand	2012
ERR527376	PD0697-C	Thailand	2006
ERR527377	PD0698-C	Thailand	2006
ERR527340	PD0699-C	Thailand	2011
ERR527342	PD0700-C	Thailand	2007
ERR527344	PD0701-C	Thailand	2011
ERR527380	PD0702-C	Thailand	2013
ERR527345	PD0703-C	Thailand	2012
ERR527382	PD0704-C	Thailand	2013
ERR527348	PD0705-C	Thailand	2007
ERR527383	PD0706-C	Thailand	2011
ERR527385	PD0707-C	Thailand	2007
ERR527375	PD0708-C	Thailand	2011
ERR527338	PD0709-C	Thailand	2013
ERR527339	PD0710-C	Thailand	2007
ERR527341	PD0711-C	Thailand	2011
ERR527343	PD0712-C	Thailand	2006
ERR527379	PD0713-C	Thailand	2013
ERR527368	PD0714-C	Thailand	2012
ERR527346	PD0715-C	Thailand	2010
ERR023161	PV0025-C	Vietnam	2010
ERR022866	PV0053-C	Vietnam	2009
ERR211533	PV0054-C	Vietnam	2009
ERR484718	PV0054-C	Vietnam	2009
ERR484727	PV0054-C	Vietnam	2009
ERR490259	PV0054-C	Vietnam	2009
ERR021981	PV0056-C	Vietnam	2009
ERR021983	PV0061-C	Vietnam	2009
ERR021980	PV0062-C	Vietnam	2009
ERR021982	PV0067-C	Vietnam	2009
ERR211538	PV0071-C	Vietnam	2009
ERR484719	PV0071-C	Vietnam	2009
ERR484728	PV0071-C	Vietnam	2009
ERR490260	PV0071-C	Vietnam	2009
ERR216470	PV0072-C	Vietnam	2009
ERR490275	PV0072-C	Vietnam	2009
ERR211565	PV0074-C	Vietnam	2009
ERR484721	PV0074-C	Vietnam	2009
ERR484730	PV0074-C	Vietnam	2009
ERR490262	PV0074-C	Vietnam	2009
ERR388796	PV0243-Cx2	Vietnam	2011
ERR175494	PV0253-C	Vietnam	2011
ERR171580	PV0255-C	Vietnam	2011
ERR216527	PV0327-C	Vietnam	2012
SRR1564575	Brazil01	Brazil	2011
SRR1568121	Brazil01	Brazil	2011
SRR1564605	Brazil02	Brazil	2011
SRR1568116	Brazil02	Brazil	2011
SRR1568176	Brazil08	Brazil	2011
SRR1568808	Brazil08	Brazil	2011
SRR1564700	Brazil12	Brazil	2011
SRR1568108	Brazil12	Brazil	2011
SRR1562973	Brazil13	Brazil	2011
SRR1564656	Brazil13	Brazil	2011
SRR1564632	Brazil15	Brazil	2011
SRR1565062	Brazil15	Brazil	2011
SRR1568233	Brazil15	Brazil	2011
SRR1562872	Brazil17	Brazil	2011
SRR1567991	Brazil17	Brazil	2011
SRR1568119	Brazil17	Brazil	2011
SRR1568124	Brazil17	Brazil	2011
SRR1568173	Brazil17	Brazil	2011
SRR1562939	Brazil22	Brazil	2011
SRR1564662	Brazil22	Brazil	2011
SRR1564651	Brazil24	Brazil	2011
SRR1568111	Brazil24	Brazil	2011
SRR1564606	Brazil25	Brazil	2011
SRR1568188	Brazil25	Brazil	2011
SRR1564695	Brazil27	Brazil	2011
SRR1568215	Brazil27	Brazil	2011
SRR1564608	Brazil29	Brazil	2011
SRR1568193	Brazil29	Brazil	2011
SRR1564652	Brazil30	Brazil	2011
SRR1564653	Brazil30	Brazil	2011
SRR1564993	Brazil30	Brazil	2011
SRR1564633	Brazil31	Brazil	2011
SRR1568784	Brazil31	Brazil	2011
SRR1564647	Brazil32	Brazil	2011
SRR1568192	Brazil32	Brazil	2011
SRR1564594	Brazil33	Brazil	2011
SRR1568212	Brazil33	Brazil	2011
SRR1562969	Brazil34	Brazil	2011
SRR1568011	Brazil34	Brazil	2011
SRR1564619	Brazil35	Brazil	2011
SRR1568194	Brazil35	Brazil	2011
SRR1568200	Brazil35	Brazil	2011
SRR1568220	Brazil35	Brazil	2011
SRR1568222	Brazil35	Brazil	2011
SRR1562536	Brazil87	Brazil	2011
SRR1564576	Brazil87	Brazil	2011
SRR1567957	Brazl03	Brazil	2011
SRR1568197	Brazl03	Brazil	2011
SRR1565123	Colombia_30101099036	Colombia	2012
SRR1573226	Colombia_30101099036	Colombia	2012
SRR1562524	Colombia_30101099038	Colombia	2012
SRR1565075	Colombia_30101099038	Colombia	2012
SRR1564988	Colombia_30101099040	Colombia	2012
SRR1568221	Colombia_30101099040	Colombia	2012
SRR1564962	Colombia_30102100437	Colombia	2012
SRR1568171	Colombia_30102100437	Colombia	2012
SRR1564939	Colombia_30102100438-A	Colombia	2012
SRR1568227	Colombia_30102100438-A	Colombia	2012
SRR1564963	Colombia_30102100438-B	Colombia	2012
SRR1568155	Colombia_30102100438-B	Colombia	2012
SRR1562975	Colombia_30102100439	Colombia	2012
SRR1565098	Colombia_30102100439	Colombia	2012
SRR1565099	Colombia_30102100440	Colombia	2012
SRR1568230	Colombia_30102100440	Colombia	2012
SRR1567977	Colombia_30102100441-A	Colombia	2012
SRR1564989	Colombia_30102100441-A	Colombia	2012
SRR1565136	Colombia_30102100441-B	Colombia	2012
SRR1568159	Colombia_30102100441-B	Colombia	2012
SRR1562971	Colombia_30102100443-A	Colombia	2012
SRR1564927	Colombia_30102100443-A	Colombia	2012
SRR1562555	Colombia_30102100443-B	Colombia	2012
SRR1564990	Colombia_30102100443-B	Colombia	2012
SRR1565137	Colombia_30102100445	Colombia	2012
SRR1568207	Colombia_30102100445	Colombia	2012
SRR1565124	Colombia_30102100446	Colombia	2012
SRR1568118	Colombia_30102100446	Colombia	2012
SRR1564670	Colombia_30102100448	Colombia	2012
SRR1565110	Colombia_30102100448	Colombia	2012
SRR1562870	Colombia_30102100449	Colombia	2012
SRR1565049	Colombia_30102100449	Colombia	2012
SRR1564964	Colombia_30102100485	Colombia	2013
SRR1568213	Colombia_30102100485	Colombia	2013
SRR1565001	Colombia_30102100486	Colombia	2013
SRR1568160	Colombia_30102100486	Colombia	2013
SRR1562518	Colombia_30102100487	Colombia	2013
SRR1565037	Colombia_30102100487	Colombia	2013
SRR1564665	Colombia_30102100488	Colombia	2013
SRR1565111	Colombia_30102100488	Colombia	2013
SRR1564660	Colombia_30102100489	Colombia	2013
SRR1564951	Colombia_30102100489	Colombia	2013
SRR1564940	Colombia_30102100490	Colombia	2013
SRR1568169	Colombia_30102100490	Colombia	2013
SRR1564650	Colombia_30102100491	Colombia	2013
SRR1565138	Colombia_30102100491	Colombia	2013
SRR1562965	Colombia_30102100492	Colombia	2013
SRR1565139	Colombia_30102100492	Colombia	2013
SRR1562818	Colombia_30102100493	Colombia	2013
SRR1565140	Colombia_30102100493	Colombia	2013
SRR1565112	Colombia_30102100504	Colombia	2013
SRR1568112	Colombia_30102100504	Colombia	2013
SRR1565061	Colombia_30103103280	Colombia	2013
SRR1568236	Colombia_30103103280	Colombia	2013
SRR1562967	Colombia_30103103295	Colombia	2013
SRR1564991	Colombia_30103103295	Colombia	2013
SRR1564664	Colombia_30111110015	Colombia	2013
SRR1565087	Colombia_30111110015	Colombia	2013
SRR1565002	Colombia_30111110020	Colombia	2013
SRR1568235	Colombia_30111110020	Colombia	2013
SRR1565026	Colombia_30111110026	Colombia	2013
SRR1568128	Colombia_30111110026	Colombia	2013
SRR1564595	DTS_0721	Peru	NA
SRR1568234	DTS_0721	Peru	NA
SRR1562519	DTS_0791	Peru	NA
SRR1564563	DTS_0791	Peru	NA
SRR1568107	DTS_0791	Peru	NA
SRR1568113	DTS_0791	Peru	NA
SRR1568203	DTS_0791	Peru	NA
SRR1564667	DTS_0830	Peru	NA
SRR1568183	DTS_0830	Peru	NA
SRR1564620	DTS_0839	Peru	2012
SRR1568187	DTS_0839	Peru	2012
SRR1568012	IndiaNYC	India	2012
SRR1568115	IndiaNYC	India	2012
SRR1565024	Mexico_0202	Mexico	2002
SRR1568077	Mexico_0202	Mexico	2002
SRR1565013	Mexico_11402	Mexico	2002
SRR1568126	Mexico_11402	Mexico	2002
SRR1562839	Mexico_1203	Mexico	2003
SRR1564992	Mexico_1203	Mexico	2003
SRR1565014	Mexico_12400	Mexico	2.00E+03
SRR1568201	Mexico_12400	Mexico	2.00E+03
SRR1565086	Mexico_1302	Mexico	2002
SRR1568158	Mexico_1302	Mexico	2002
SRR1562526	Mexico_13107	Mexico	2007
SRR1565003	Mexico_13107	Mexico	2007
SRR1564938	Mexico_1504	Mexico	2004
SRR1568150	Mexico_1504	Mexico	2004
SRR1562968	Mexico_15302	Mexico	2002
SRR1564926	Mexico_15302	Mexico	2002
SRR1564976	Mexico_15502	Mexico	2002
SRR1568219	Mexico_15502	Mexico	2002
SRR1562840	Mexico_1905	Mexico	2005
SRR1565060	Mexico_1905	Mexico	2005
SRR1565148	Mexico_2003	Mexico	2003
SRR1568218	Mexico_2003	Mexico	2003
SRR1565114	Mexico_2008	Mexico	2008
SRR1568110	Mexico_2008	Mexico	2008
SRR1564950	Mexico_2202	Mexico	2002
SRR1568153	Mexico_2202	Mexico	2002
SRR1565012	Mexico_3902	Mexico	2002
SRR1568225	Mexico_3902	Mexico	2002
SRR1565074	Mexico_4304	Mexico	2004
SRR1568181	Mexico_4304	Mexico	2004
SRR1565038	Mexico_5002	Mexico	2002
SRR1568231	Mexico_5002	Mexico	2002
SRR1564928	Mexico_7401	Mexico	2001
SRR1568127	Mexico_7401	Mexico	2001
SRR1565113	Mexico_7503	Mexico	2003
SRR1568190	Mexico_7503	Mexico	2003
SRR1564965	Mexico_8301	Mexico	2001
SRR1568223	Mexico_8301	Mexico	2001
SRR1562522	Mexico_8302	Mexico	2002
SRR1564952	Mexico_8302	Mexico	2002
SRR1565027	Myanmar_LZCH-13	Myanmar	NA
SRR1568204	Myanmar_LZCH-13	Myanmar	NA
SRR1565077	Myanmar_LZCH-20	Myanmar	2013
SRR1568114	Myanmar_LZCH-20	Myanmar	2013
SRR1562516	Myanmar_LZCH-36	Myanmar	NA
SRR1565050	Myanmar_LZCH-36	Myanmar	NA
SRR1564529	Myanmar_LZCH-4	Myanmar	2013
SRR1564966	Myanmar_LZCH-4	Myanmar	2013
SRR1564577	Myanmar_NB-13-1	Myanmar	NA
SRR1564977	Myanmar_NB-13-1	Myanmar	NA
SRR1565141	Myanmar_NB-15	Myanmar	2012
SRR1568120	Myanmar_NB-15	Myanmar	2012
SRR1564547	Myanmar_NB-16	Myanmar	NA
SRR1565088	Myanmar_NB-16	Myanmar	NA
SRR1565100	Myanmar_NB-17	Myanmar	2012
SRR1568013	Myanmar_NB-17	Myanmar	2012
SRR1562844	Nicaragua-462	Nicaragua	NA
SRR1564690	Nicaragua-462	Nicaragua	NA
SRR1564967	Nicaragua-462	Nicaragua	NA
SRR1565052	Panama-458	Panama	NA
SRR1562517	Panama-458	Panama	NA
SRR1564622	Panama-458	Panama	NA
SRR1565000	Peru00622	Peru	2011
SRR1568166	Peru00622	Peru	2011
SRR1568822	Peru00622	Peru	2011
SRR1564646	Peru00692	Peru	2011
SRR1568165	Peru00692	Peru	2011
SRR1568167	Peru00692	Peru	2011
SRR1568191	Peru00692	Peru	2011
SRR1568202	Peru00692	Peru	2011
SRR1568000	Peru00699	Peru	2011
SRR1568216	Peru00699	Peru	2011
SRR1759047	Peru03	Peru	NA
SRR1759122	Peru04	Peru	NA
SRR1759139	Peru05	Peru	NA
SRR1567968	Peru06	Peru	NA
SRR1568211	Peru06	Peru	NA
SRR1564701	Peru07	Peru	NA
SRR1568123	Peru07	Peru	NA
SRR1568172	Peru07	Peru	NA
SRR1568198	Peru07	Peru	NA
SRR1568199	Peru07	Peru	NA
SRR1562512	Peru08	Peru	NA
SRR1562525	Peru08	Peru	NA
SRR1564696	Peru08	Peru	NA
SRR1568210	Peru08	Peru	NA
SRR1568226	Peru08	Peru	NA
SRR1564692	Peru09	Peru	NA
SRR1562513	Peru09	Peru	NA
SRR1562521	Peru10	Peru	NA
SRR1568037	Peru10	Peru	NA
SRR1564689	Peru1008	Peru	2010
SRR1568206	Peru1008	Peru	2010
SRR1562567	Peru1021	Peru	2011
SRR1567965	Peru1021	Peru	2011
SRR1562851	Peru1022	Peru	2011
SRR1568001	Peru1022	Peru	2011
SRR1567966	Peru2025	Peru	2010
SRR1568162	Peru2025	Peru	2010
SRR1567956	Peru257	Peru	2013
SRR1568149	Peru257	Peru	2013
SRR1562871	Peru258	Peru	2013
SRR1565025	Peru258	Peru	2013
SRR1568825	Peru258	Peru	2013
SRR1562958	Peru259	Peru	2013
SRR1564669	Peru259	Peru	2013
SRR1568196	Peru260	Peru	2013
SRR1568354	Peru260	Peru	2013
SRR1564562	Peru261	Peru	2013
SRR1568002	Peru262	Peru	2013
SRR1568174	Peru262	Peru	2013
SRR1567949	Peru3043_D0	Peru	2011
SRR1568163	Peru3043_D0	Peru	2011
SRR1562614	Peru3043_D106	Peru	2011
SRR1568003	Peru3043_D106	Peru	2011
SRR1562972	Peru3043_D87	Peru	2011
SRR1564685	Peru3043_D87	Peru	2011
SRR1564630	Peru3133	Peru	2011
SRR1565076	Peru3133	Peru	2011
SRR1568004	Peru3133	Peru	2011
SRR1567967	Peru3136	Peru	2011
SRR1568157	Peru3136	Peru	2011
SRR1564631	Peru3232	Peru	NA
SRR1568232	Peru3232	Peru	NA
SRR1562624	Peru3270_D0	Peru	2011
SRR1568036	Peru3270_D0	Peru	2011
SRR1562606	Peru3270_D43	Peru	2012
SRR1562931	Peru3270_D43	Peru	2012
SRR1564593	Peru3270_D43	Peru	2012
SRR1568168	Peru3270_D43	Peru	2012
SRR1568175	Peru3270_D43	Peru	2012
SRR1564666	Peru3270_D59	Peru	2013
SRR1568787	Peru3270_D59	Peru	2013
SRR1562615	Peru3280	Peru	NA
SRR1564584	Peru3280	Peru	NA
SRR1564618	Peru3323	Peru	2012
SRR1568184	Peru3323	Peru	2012
SRR1562538	Peru4017	Peru	2012
SRR1564694	Peru4017	Peru	2012
SRR1564661	Peru4023	Peru	2012
SRR1568117	Peru4023	Peru	2012
SRR1759307	Peru612	Peru	NA
SRR1759336	Peru697	Peru	NA
SRR1564654	Peru852	Peru	NA
SRR1568182	Peru852	Peru	NA
SRR1564663	Peru858	Peru	NA
SRR1568195	Peru858	Peru	NA
SRR1562534	Peru869	Peru	NA
SRR1567969	Peru869	Peru	NA
SRR1564697	Peru872	Peru	NA
SRR1568122	Peru872	Peru	NA
SRR1564655	Peru99622	Peru	2011
SRR1568178	Peru99622	Peru	2011
SRR1759411	PNG012	Papua New Guinea	NA
SRR1564672	PNG_014	Papua New Guinea	2012
SRR1565127	PNG_014	Papua New Guinea	2012
SRR1568185	PNG_014	Papua New Guinea	2012
SRR1759523	PNG025	Papua New Guinea	NA
SRR1564566	PNG_030	Papua New Guinea	2012
SRR1568228	PNG_030	Papua New Guinea	2012
SRR1562932	PNG_045	Papua New Guinea	2012
SRR1567960	PNG_045	Papua New Guinea	2012
SRR1567993	PNG_063	Papua New Guinea	2012
SRR1568224	PNG_063	Papua New Guinea	2012
SRR1564699	PNG_070	Papua New Guinea	2012
SRR1568189	PNG_070	Papua New Guinea	2012
SRR1759594	PNG076	Papua New Guinea	NA
SRR1567560	PNG_076	Papua New Guinea	2005
SRR1564659	PNG_090	Papua New Guinea	NA
SRR1568170	PNG_090	Papua New Guinea	NA
SRR1564691	PNG16	Papua New Guinea	NA
SRR1568156	PNG16	Papua New Guinea	NA
SRR1562963	PNG17	Papua New Guinea	NA
SRR1565125	PNG17	Papua New Guinea	NA
SRR1568827	PNG17	Papua New Guinea	NA
SRR1759522	PNG175	Papua New Guinea	NA
SRR1759592	PNG49	Papua New Guinea	NA
SRR1565051	PNG58	Papua New Guinea	NA
SRR1567958	PNG58	Papua New Guinea	NA
SRR1568177	PNG58	Papua New Guinea	NA
SRR1564564	PNG72	Papua New Guinea	NA
SRR1568105	PNG72	Papua New Guinea	NA
SRR1562672	PNG73	Papua New Guinea	NA
SRR1564609	PNG73	Papua New Guinea	NA
SRR1562605	PVRVL1991	Papua New Guinea	1992
SRR1564953	PVRVL1991	Papua New Guinea	1992
SRR1565063	PVRVL1997	Papua New Guinea	1997
SRR1568147	PVRVL1997	Papua New Guinea	1997
SRR1562960	PVRVL2000	Papua New Guinea	2.00E+03
SRR1565039	PVRVL2000	Papua New Guinea	2.00E+03
SRR1562669	PVRVL2003	Papua New Guinea	2003
SRR1565028	PVRVL2003	Papua New Guinea	2003
SRR1564978	PVXMQ2006	Papua New Guinea	2006
SRR1568214	PVXMQ2006	Papua New Guinea	2006
SRR1562961	PVXMW2006	Papua New Guinea	2006
SRR1564942	PVXMW2006	Papua New Guinea	2006
SRR1562670	PVXMZ2010	Papua New Guinea	2010
SRR1564943	PVXMZ2010	Papua New Guinea	2010
SRR1562535	ST01	Peru	NA
SRR1562537	ST01	Peru	NA
SRR1562966	ST01	Peru	NA
SRR1564693	ST01	Peru	NA
SRR1568164	ST01	Peru	NA
SRR1564929	ST02	Peru	NA
SRR1568179	ST02	Peru	NA
SRR1568793	ST02	Peru	NA
SRR1562613	Thailand_Pakchong-460	Thailand	NA
SRR1564621	Thailand_Pakchong-460	Thailand	NA
SRR1565015	Thailand_Pakchong-460	Thailand	NA
SRR1564596	Thailand_VKBT-100	Thailand	2013
SRR1564979	Thailand_VKBT-100	Thailand	2013
SRR1568148	Thailand_VKBT-100	Thailand	2013
SRR1564585	Thailand_VKBT-101	Thailand	2013
SRR1565101	Thailand_VKBT-101	Thailand	2013
SRR1568209	Thailand_VKBT-101	Thailand	2013
SRR1562959	Thailand_VKBT-106	Thailand	2013
SRR1564686	Thailand_VKBT-106	Thailand	2013
SRR1565089	Thailand_VKBT-106	Thailand	2013
SRR1562845	Thailand_VKBT-58	Thailand	2012
SRR1564610	Thailand_VKBT-58	Thailand	2012
SRR1564980	Thailand_VKBT-58	Thailand	2012
SRR1562962	Thailand_VKBT-71	Thailand	2012
SRR1564548	Thailand_VKBT-71	Thailand	2012
SRR1565016	Thailand_VKBT-71	Thailand	2012
SRR1564668	Thailand_VKBT-72	Thailand	2012
SRR1565090	Thailand_VKBT-72	Thailand	2012
SRR1568161	Thailand_VKBT-72	Thailand	2012
SRR1562970	Thailand_VKBT-73	Thailand	2012
SRR1564702	Thailand_VKBT-73	Thailand	2012
SRR1564954	Thailand_VKBT-73	Thailand	2012
SRR1562616	Thailand_VKBT-75	Thailand	2012
SRR1564930	Thailand_VKBT-75	Thailand	2012
SRR1568014	Thailand_VKBT-75	Thailand	2012
SRR1564687	Thailand_VKBT-94	Thailand	2012
SRR1565029	Thailand_VKBT-94	Thailand	2012
SRR1568152	Thailand_VKBT-94	Thailand	2012
SRR1564688	Thailand_VKBT-95	Thailand	2012
SRR1565064	Thailand_VKBT-95	Thailand	2012
SRR1568109	Thailand_VKBT-95	Thailand	2012
SRR1564671	Thailand_VKBT-98	Thailand	2013
SRR1565040	Thailand_VKBT-98	Thailand	2013
SRR1568103	Thailand_VKBT-98	Thailand	2013
SRR1564657	Thailand_VKBT-99	Thailand	2013
SRR1565115	Thailand_VKBT-99	Thailand	2013
SRR1568229	Thailand_VKBT-99	Thailand	2013
SRR1562974	Thailand_VKPR-11	Thailand	2013
SRR1565126	Thailand_VKPR-11	Thailand	2013
SRR1567959	Thailand_VKPR-11	Thailand	2013
SRR1564565	Thailand_VKTS-36	Thailand	2012
SRR1565004	Thailand_VKTS-36	Thailand	2012
SRR1568186	Thailand_VKTS-36	Thailand	2012
SRR1564919	Thailand_VKTS-37	Thailand	2012
SRR1567992	Thailand_VKTS-37	Thailand	2012
SRR1568154	Thailand_VKTS-37	Thailand	2012
SRR1562671	Thailand_VKTS-38	Thailand	2012
SRR1564597	Thailand_VKTS-38	Thailand	2012
SRR1565053	Thailand_VKTS-38	Thailand	2012
SRR1565065	Thailand_VKTS-39	Thailand	2012
SRR1568038	Thailand_VKTS-39	Thailand	2012
SRR1568208	Thailand_VKTS-39	Thailand	2012
SRR1564703	Thailand_VKTS-45	Thailand	2012
SRR1565078	Thailand_VKTS-45	Thailand	2012
SRR1568180	Thailand_VKTS-45	Thailand	2012
SRR1562520	Thailand_VKTS-46	Thailand	2012
SRR1564698	Thailand_VKTS-46	Thailand	2012
SRR1565041	Thailand_VKTS-46	Thailand	2012
SRR1564658	Thailand_VKTS-52	Thailand	2013
SRR1565102	Thailand_VKTS-52	Thailand	2013
